土地位置建物門牌(Geo),土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年,交易月,交易筆棟數,建物大於1,車位數,樓層比例,移轉層次,總樓層數,建物型態,是否透天,是否投資透天,主要用途,建築完成年,建築完成月,屋齡缺失,屋齡,建物移轉總面積平方公尺,是否毛胚,建物現況格局-房,有無管理組織,單價,總價元,車位類別,車位單價,車位總價元,特殊交易,電梯,latitude,longitude,與竹科距離_km
台灣新竹市新竹市中華路四段７０５之１０號二樓,新竹市新竹市中華路四段７０５之１０號二樓,6.81,工,113,11,建物1車位0,0,0,0.333333333,2,6,華廈,0,0,住家用,96,6,0,17.5,28.52,0,1,1,74333.80084,2120000,無,0,0,0,1,24.78876,120.9300616,7.714515649
台灣新竹市新竹市中華路四段７０５之５２號六樓,新竹市新竹市中華路四段７０５之５２號六樓,6.81,工,113,11,建物1車位0,0,0,1,6,6,華廈,0,0,住家用,96,6,0,17.5,28.61,0,1,1,68507.51485,1960000,無,0,0,0,1,24.78876,120.9300616,7.714515649
台灣新竹市新竹市建功路２６號１１樓之８,新竹市新竹市建功路２６號１１樓之８,3.16,住,113,7,建物1車位0,0,0,0.916666667,11,12,大樓,0,0,住家用,84,12,0,28.5,28.61,0,1,1,192240.4754,5500000,無,0,0,0,1,24.7964892,120.9988075,1.798789535
台灣新竹市新竹市經國路一段３７９巷１０弄１７號６樓之７,新竹市新竹市經國路一段３７９巷１０弄１７號６樓之７,3.78,商,113,10,建物1車位0,0,0,0.857142857,6,7,華廈,0,0,住家用,82,6,0,31.4,28.89,0,1,1,124610.5919,3600000,無,0,0,0,1,24.813567,120.9786294,4.489538028
台灣新竹市新竹市中華路四段７０５之４５號六樓,新竹市新竹市中華路四段７０５之４５號六樓,6.81,工,113,10,建物1車位0,0,0,1,6,6,華廈,0,0,住家用,96,6,0,17.4,28.9,0,1,1,74394.46367,2150000,無,0,0,0,1,24.78876,120.9300616,7.714515649
台灣新竹市新竹市中華路四段７０５之４３號四樓,新竹市新竹市中華路四段７０５之４３號四樓,6.81,工,113,10,建物1車位0,0,0,0.666666667,4,6,華廈,0,0,住家用,96,6,0,17.4,28.9,0,1,1,77854.67128,2250000,無,0,0,0,1,24.78876,120.9300616,7.714515649
台灣新竹市新竹市至善街３７巷４２號二樓,新竹市新竹市至善街３７巷４２號二樓,13.83,非,113,10,建物1車位0,0,0,0.4,2,5,公寓,0,0,住家用,86,7,0,27.3,29.33,0,1,1,51142.17525,1500000,無,0,0,0,0,24.7555872,120.9507797,6.280321199
台灣新竹市新竹市至街３７巷２０號地下室,新竹市新竹市至善街３７巷２０號地下室,13.83,非,113,10,建物1車位0,0,0,-0.2,-1,5,公寓,0,0,住家用,86,7,0,27.3,29.33,0,1,1,44323.21855,1300000,無,0,0,0,0,24.8138287,120.9674798,5.278347115
台灣新竹市新竹市至街３７巷１６號三樓,新竹市新竹市至街３７巷１６號三樓,13.83,非,113,8,建物1車位0,0,0,0.6,3,5,公寓,0,0,住家用,86,7,0,27.1,29.33,0,1,1,50460.27958,1480000,無,0,0,0,0,24.8138287,120.9674798,5.278347115
台灣新竹市新竹市金山六街８巷３２號五樓之１,新竹市新竹市金山六街８巷３２號五樓之１,10.14,住,113,10,建物1車位0,0,0,1,5,5,華廈,0,0,住家用,94,5,0,19.5,29.6,0,1,1,192567.5676,5700000,無,0,0,0,1,24.7771069,121.0196043,1.468751393
台灣新竹市新竹市香北路２２５巷８６號四樓之３,新竹市新竹市香北路２２５巷８６號四樓之３,4.98,住,113,10,建物1車位0,0,0,0.5,4,8,華廈,0,0,住家用,94,3,0,19.7,29.73,0,1,1,89135.55331,2650000,無,0,0,0,1,24.7892497,120.9258979,8.138903971
台灣新竹市新竹市香北一路１９１巷１號四樓之７,新竹市新竹市香北一路１９１巷１號四樓之７,7.82,住,113,3,建物1車位0,0,0,0.8,4,5,華廈,0,0,住家用,95,7,0,17.6,29.81,0,1,0,92921.83831,2770000,無,0,0,0,1,24.7918497,120.9219885,8.565453074
台灣新竹市新竹市長安街４３號五樓之１,新竹市新竹市長安街４３號五樓之１,6.46,商,113,8,建物1車位0,0,0,1,5,5,華廈,0,0,住家用,95,6,0,18.2,30.43,0,1,1,127505.7509,3880000,無,0,0,0,1,24.8057807,120.9652402,4.909946441
台灣新竹市新竹市至善街３７巷４８號四樓,新竹市新竹市至善街３７巷４８號四樓,13.83,非,113,9,建物1車位0,0,0,0.8,4,5,公寓,0,0,住家用,86,7,0,27.2,30.47,0,1,1,59074.49951,1800000,無,0,0,0,0,24.7553924,120.9497941,6.378843757
台灣新竹市新竹市竹光路８號１２樓之１０,新竹市新竹市竹光路８號１２樓之１０,3.27,住,113,8,建物1車位0,0,0,0.857142857,12,14,大樓,0,0,住家用,86,2,0,27.6,30.76,0,1,1,110533.1599,3400000,無,0,0,1,1,24.8151621,120.9615308,5.829047253
台灣新竹市新竹市金山北二街８７號三樓之８,新竹市新竹市金山北二街８７號三樓之８,6.77,住,113,7,建物1車位0,0,0,0.5,3,6,華廈,0,0,住家用,95,2,0,18.5,31.11,0,1,1,197685.6316,6150000,無,0,0,0,1,24.777477,121.0248116,1.962152057
台灣新竹市新竹市香北一路１９１巷１號二樓之１,新竹市新竹市香北一路１９１巷１號二樓之１,8.62,住,113,9,建物1車位0,0,0,0.4,2,5,華廈,0,0,住家用,95,7,0,18.2,31.44,0,1,1,89058.52417,2800000,無,0,0,0,1,24.7918497,120.9219885,8.565453074
台灣新竹市新竹市至街３１巷１４號四樓,新竹市新竹市至街３１巷１４號四樓,14.7,非,113,9,建物1車位0,0,0,1,4,4,公寓,0,0,住家用,87,3,0,26.6,31.47,0,1,1,38131.55386,1200000,無,0,0,0,0,24.8138287,120.9674798,5.278347115
台灣新竹市新竹市東大路四段３１號四樓之１,新竹市新竹市東大路四段３１號四樓之１,8.83,住,113,10,建物1車位0,0,0,0.8,4,5,華廈,0,0,辦公用,99,9,0,14.1,31.6,0,1,0,125949.3671,3980000,無,0,0,0,1,24.8413199,120.9356581,9.707666345
台灣新竹市新竹市中正路１８２號二樓之９,新竹市新竹市中正路１８２號二樓之９,3.06,商,113,9,建物1車位0,0,0,0.181818182,2,11,大樓,0,0,住家用,96,3,0,17.6,31.97,0,1,1,131373.1623,4200000,無,0,0,0,1,24.8100463,120.9662136,5.104828413
台灣新竹市新竹市至街３１巷５號三樓之１,新竹市新竹市至街３１巷５號三樓之１,16.04,非,113,10,建物1車位0,0,0,0.75,3,4,公寓,0,0,住家用,87,3,0,26.7,32.58,0,1,1,65991.40577,2150000,無,0,0,0,0,24.8138287,120.9674798,5.278347115
台灣新竹市新竹市至街３１巷７號四樓,新竹市新竹市至街３１巷７號四樓,16.04,非,113,8,建物1車位0,0,0,1,4,4,公寓,0,0,住家用,87,3,0,26.5,32.58,0,1,1,52179.25107,1700000,無,0,0,0,0,24.8138287,120.9674798,5.278347115
台灣新竹市新竹市至善街３１巷３號二樓之１,新竹市新竹市至善街３１巷３號二樓之１,16.04,非,113,7,建物1車位0,0,0,0.5,2,4,公寓,0,0,住家用,87,3,0,26.4,32.58,0,1,1,75199.5089,2450000,無,0,0,0,0,24.8138287,120.9674798,5.278347115
台灣新竹市新竹市愛文街１１７號九樓之７,新竹市新竹市愛文街１１７號九樓之７,5.22,商,113,8,建物1車位0,0,0,0.9,9,10,華廈,0,0,辦公用,97,5,0,16.3,33.2,0,1,1,143072.2892,4750000,無,0,0,0,1,24.8088431,120.961767,5.390059109
台灣新竹市新竹市愛文街１１７號三樓之１,新竹市新竹市愛文街１１７號三樓之１,5.26,商,113,8,建物1車位0,0,0,0.3,3,10,華廈,0,0,辦公用,97,5,0,16.3,33.45,0,1,1,141106.1286,4720000,無,0,0,0,1,24.8088431,120.961767,5.390059109
台灣新竹市新竹市經國路一段３７９巷１０弄１７號５樓之４,新竹市新竹市經國路一段３７９巷１０弄１７號５樓之４,4.37,商,113,9,建物1車位0,0,0,0.714285714,5,7,華廈,0,0,住家用,82,6,0,31.3,33.47,0,1,1,125485.5094,4200000,無,0,0,0,1,24.813567,120.9786294,4.489538028
台灣新竹市新竹市至街３５巷３２號二樓,新竹市新竹市至街３５巷３２號二樓,16.23,非,113,8,建物1車位0,0,0,0.4,2,5,公寓,0,0,住家用,86,7,0,27.1,33.88,0,1,1,47225.50177,1600000,無,0,0,0,0,24.8138287,120.9674798,5.278347115
台灣新竹市新竹市竹光路８號６樓之２０,新竹市新竹市竹光路８號６樓之２０,3.58,住,113,8,建物1車位0,0,0,0.428571429,6,14,大樓,0,0,住家用,86,2,0,27.6,34.82,0,1,1,104824.8133,3650000,無,0,0,0,1,24.8151621,120.9615308,5.829047253
台灣新竹市新竹市湳雅街１７６之１號五樓之７,新竹市新竹市湳雅街１７６之１號五樓之７,6.53,住,113,9,建物1車位0,0,0,0.714285714,5,7,華廈,0,0,辦公用,97,11,0,15.8,35.2,0,1,1,136363.6364,4800000,無,0,0,0,1,24.8210412,120.9746832,5.391177825
台灣新竹市新竹市四維路６３號４樓之１,新竹市新竹市四維路６３號４樓之１,3.07,商,113,7,建物1車位0,0,0,0.333333333,4,12,大樓,0,0,住家用,85,5,0,28.2,35.37,0,1,1,96126.66101,3400000,無,0,0,0,1,24.8005005,120.9610051,5.002806044
台灣新竹市新竹市竹光路８號８樓之２１,新竹市新竹市竹光路８號８樓之２１,3.73,住,113,10,建物1車位0,0,0,0.571428571,8,14,大樓,0,0,住家用,86,2,0,27.8,36.25,0,1,1,117517.2414,4260000,無,0,0,0,1,24.8151621,120.9615308,5.829047253
台灣新竹市新竹市關新路２９號九樓之３５,新竹市新竹市關新路２９號九樓之３５,4.48,工,113,10,建物1車位0,0,0,0.692307692,9,13,大樓,0,0,辦公用,97,9,0,16.1,36.34,0,1,1,214639.5157,7800000,無,0,0,0,1,24.7849631,121.0179678,1.271015931
台灣新竹市新竹市南門街４７號四樓之３,新竹市新竹市南門街４７號四樓之３,5.6,商,113,8,建物1車位0,0,0,0.4,4,10,華廈,0,0,住家用,102,1,0,11.7,37.22,0,1,1,134336.3783,5000000,無,0,0,0,1,24.801209,120.9670508,4.492194803
台灣新竹市新竹市林森路２０３號８樓之３,新竹市新竹市林森路２０３號８樓之３,3.23,商,113,11,建物1車位0,0,0,0.666666667,8,12,大樓,0,0,商業用,80,11,0,33,37.41,0,1,1,66827.05159,2500000,無,0,0,0,1,24.7986584,120.9641043,4.633151763
台灣新竹市新竹市勝利路４０號７樓之３,新竹市新竹市勝利路４０號７樓之３,4.17,商,113,8,建物1車位0,0,0,0.7,7,10,華廈,0,0,其他,80,4,0,33.4,38.92,0,1,1,82476.87564,3210000,無,0,0,0,1,24.8026247,120.969729,4.339124025
台灣新竹市新竹市明湖路１０５０巷６３號６樓,新竹市新竹市明湖路１０５０巷６３號６樓,13.15,非,113,9,建物1車位0,0,0,0.857142857,6,7,華廈,0,0,住家用,83,3,0,30.6,39.13,0,1,1,79223.10248,3100000,無,0,0,0,1,24.7676102,120.9789249,3.142375919
台灣新竹市新竹市明湖路１０５０巷６７號,新竹市新竹市明湖路１０５０巷６７號,13.15,非,113,5,建物1車位0,0,0,0.142857143,1,7,華廈,0,0,住家用,83,3,0,30.2,39.13,0,1,1,83823.15359,3280000,無,0,0,0,1,24.7676102,120.9789249,3.142375919
台灣新竹市新竹市愛文街１１７號八樓之２,新竹市新竹市愛文街１１７號八樓之２,6.17,商,113,8,建物1車位0,0,0,0.8,8,10,華廈,0,0,辦公用,97,5,0,16.3,39.26,0,1,1,114620.4789,4500000,無,0,0,0,1,24.8088431,120.961767,5.390059109
台灣新竹市新竹市建功二路２號六樓之９,新竹市新竹市建功二路２號六樓之９,10.56,住,113,7,建物1車位0,0,0,1,6,6,華廈,0,0,住家用,96,9,0,16.8,40.29,0,1,1,196574.8325,7920000,無,0,0,0,1,24.7971243,121.0025289,1.752347523
台灣新竹市新竹市竹光路８號１４樓之１２,新竹市新竹市竹光路８號１４樓之１２,4.2,住,113,8,建物1車位0,0,0,1,14,14,大樓,0,0,住家用,86,2,0,27.6,41.38,0,1,1,108748.1875,4500000,無,0,0,0,1,24.8151621,120.9615308,5.829047253
台灣新竹市新竹市境福街８５號二樓之１２,新竹市新竹市境福街８５號二樓之１２,7.11,住,113,8,建物1車位0,0,0,0.285714286,2,7,華廈,0,0,住家用,96,6,0,17.2,41.43,0,1,1,85686.70046,3550000,無,0,0,0,1,24.8179728,120.9606976,6.095240433
台灣新竹市新竹市經國路二段１１１號三樓之１３,新竹市新竹市經國路二段１１１號三樓之１３,3.36,商,113,9,建物1車位0,0,0,0.25,3,12,大樓,0,0,住家用,86,7,0,27.2,41.45,0,1,1,96501.80941,4000000,無,0,0,0,1,24.8120644,120.9651157,5.33116796
台灣新竹市新竹市中山路２３７號十樓,新竹市新竹市中山路２３７號十樓,6.51,商,113,9,建物1車位0,0,0,1,10,10,華廈,0,0,辦公用,96,6,0,17.3,41.51,0,1,1,179474.8253,7450000,無,0,0,0,1,24.8018433,120.9616693,5.006631049
台灣新竹市新竹市東門街３４巷１５號５樓之２,新竹市新竹市東門街３４巷１５號５樓之２,9.26,商,113,9,建物1車位0,0,0,1,5,5,華廈,0,0,住家用,84,7,0,29.2,41.59,1,0,1,64919.45179,2700000,無,0,0,0,1,24.8046184,120.9731783,4.179883711
台灣新竹市新竹市光復路一段４１巷９號二樓之６,新竹市新竹市光復路一段４１巷９號二樓之６,10.21,住,113,8,建物1車位1,0,1,0.285714286,2,7,華廈,0,0,辦公用,96,5,0,17.3,41.64,0,1,1,154899.1354,6450000,坡道機械,0,0,0,1,24.7810009,121.0253938,1.967884631
台灣新竹市新竹市中華路三段９１號九樓之２,新竹市新竹市中華路三段９１號九樓之２,5.91,商,113,10,建物1車位0,0,0,0.9,9,10,華廈,0,0,辦公用,97,9,0,16.1,41.84,0,1,1,157026.7686,6570000,無,0,0,0,1,24.7966845,120.9613474,4.808894255
台灣新竹市新竹市金竹路１０２巷８之２０號三樓,新竹市新竹市金竹路１０２巷８之２０號三樓,9.54,住,113,10,建物1車位0,0,0,0.428571429,3,7,華廈,0,0,住家用,81,3,0,32.7,41.86,0,1,1,68800.76445,2880000,無,0,0,0,1,24.8231608,120.9735482,5.648822231
台灣新竹市新竹市至善街３５巷６號,新竹市新竹市至善街３５巷６號,13.41,非,113,11,建物1車位0,0,0,0.125,1,8,華廈,0,0,住家用,86,11,0,27,42.8,0,1,1,16355.14019,700000,無,0,0,0,1,24.7554246,120.949961,6.362192164
台灣新竹市新竹市至善街３５巷２號,新竹市新竹市至善街３５巷２號,13.41,非,113,8,建物1車位0,0,0,0.125,1,8,華廈,0,0,住家用,86,11,0,26.7,42.8,0,1,1,58411.21495,2500000,無,0,0,0,1,24.7550978,120.9502752,6.350595544
台灣新竹市新竹市成功路６５巷２４號５樓之１２,新竹市新竹市成功路６５巷２４號５樓之１２,10.25,住,113,8,建物1車位0,0,0,1,5,5,公寓,0,0,住家用,85,7,0,28.1,42.85,0,1,1,96849.47491,4150000,無,0,0,0,0,24.8145174,120.9566556,6.174381723
台灣新竹市新竹市北新街１１７號二樓之９,新竹市新竹市北新街１１７號二樓之９,7.3,住,113,5,建物1車位0,0,0,0.2,2,10,華廈,0,0,辦公用,97,12,0,15.3,42.9,0,2,1,132867.1329,5700000,無,0,0,0,1,24.8032033,120.9560009,5.58793444
台灣新竹市新竹市自由路９５巷３８弄１０號４樓之５,新竹市新竹市自由路９５巷３８弄１０號４樓之５,5.89,商,113,7,建物1車位0,0,0,0.571428571,4,7,華廈,0,0,住家用,80,5,0,33.2,43.01,0,1,1,111601.953,4800000,無,0,0,0,1,24.812889,120.9788824,4.414674173
台灣新竹市新竹市北新街１１７號八樓之１６,新竹市新竹市北新街１１７號八樓之１６,7.33,住,113,7,建物1車位0,0,0,0.8,8,10,華廈,0,0,辦公用,97,12,0,15.5,43.1,0,2,1,160092.8074,6900000,無,0,0,0,1,24.8032033,120.9560009,5.58793444
台灣新竹市新竹市成功路６５巷２４號２樓之４,新竹市新竹市成功路６５巷２４號２樓之４,10.25,住,113,9,建物1車位0,0,0,0.4,2,5,華廈,0,0,住家用,85,7,0,28.2,43.34,0,1,1,104060.9137,4510000,無,0,0,0,1,24.8145174,120.9566556,6.174381723
台灣新竹市新竹市四維路８號１０樓之１,新竹市新竹市四維路８號１０樓之１,4.36,商,113,7,建物1車位0,0,0,0.833333333,10,12,大樓,0,0,其他,80,7,0,33,43.49,0,1,1,86226.71879,3750000,無,0,0,0,1,24.7976564,120.9635547,4.64035224
台灣新竹市新竹市民生路１０巷２５號二樓之１,新竹市新竹市民生路１０巷２５號二樓之１,9.11,住,113,9,建物1車位0,0,0,0.25,2,8,華廈,0,0,辦公用,96,10,0,16.9,43.58,0,1,1,121615.4199,5300000,無,0,0,0,1,24.808455,120.9809967,3.899169311
台灣新竹市新竹市至街３３巷２６號,新竹市新竹市至街３３巷２６號,25.52,非,113,8,建物1車位0,0,0,1.1,全,二層,透天厝,1,0,商業用,87,3,0,26.5,43.92,1,0,1,77413.47905,3400000,無,0,0,0,0,24.8729305,120.987232,10.29041905
台灣新竹市新竹市自由路９５巷３８弄１０號５樓之３,新竹市新竹市自由路９５巷３８弄１０號５樓之３,6.51,商,113,9,建物1車位0,0,0,0.714285714,5,7,華廈,0,0,住家用,80,5,0,33.4,44.6,0,1,1,100448.4305,4480000,無,0,0,0,1,24.812889,120.9788824,4.414674173
台灣新竹市新竹市成功路６５巷２４號５樓之２１,新竹市新竹市成功路６５巷２４號５樓之２１,9.93,住,113,10,建物1車位0,0,0,1,5,5,華廈,0,0,住家用,85,7,0,28.3,44.82,0,1,1,93708.166,4200000,無,0,0,0,1,24.8145174,120.9566556,6.174381723
台灣新竹市新竹市西大路７０９巷１１號２樓之８,新竹市新竹市西大路７０９巷１１號２樓之８,5.78,住,113,9,建物1車位0,0,0,0.166666667,2,12,大樓,0,0,住家用,81,1,0,32.8,45.21,0,1,1,88476.00088,4000000,無,0,0,0,1,24.8103763,120.9551301,6.045827444
台灣新竹市新竹市金竹路１０２巷８之７號六樓,新竹市新竹市金竹路１０２巷８之７號六樓,11,住,113,8,建物1車位0,0,0,0.857142857,6,7,華廈,0,0,住家用,81,3,0,32.5,46.93,0,1,1,110803.3241,5200000,無,0,0,0,1,24.8231608,120.9735482,5.648822231
台灣新竹市新竹市四維路８號７樓之５,新竹市新竹市四維路８號７樓之５,4.62,商,113,9,建物1車位0,0,0,0.583333333,7,12,大樓,0,0,住家用,80,7,0,33.2,48.06,0,1,1,104036.6209,5000000,無,0,0,0,1,24.7976564,120.9635547,4.64035224
台灣新竹市新竹市四維路８號８樓之５,新竹市新竹市四維路８號８樓之５,4.62,商,113,7,建物1車位0,0,0,0.666666667,8,12,大樓,0,0,住家用,80,7,0,33,48.06,0,1,1,95713.69122,4600000,無,0,0,0,1,24.7976564,120.9635547,4.64035224
台灣新竹市新竹市延平路一段２６１巷５弄６號五樓,新竹市新竹市延平路一段２６１巷５弄６號五樓,19.67,住,112,12,建物1車位0,0,0,1,5,5,華廈,0,0,住家用,113,8,1,0,49.63,0,1,1,145073.5442,7200000,無,0,0,0,1,24.8033807,120.9521655,5.948711787
台灣新竹市新竹市東大路一段５２巷１之１號１２樓之４,新竹市新竹市東大路一段５２巷１之１號１２樓之４,3.96,住,113,7,建物1車位1,0,1,1,12,12,大樓,0,0,住家用,85,8,0,27.9,49.65,0,1,1,78952.66868,3920000,坡道機械,0,0,0,1,24.8028787,120.9764229,3.80264054
台灣新竹市新竹市光復路二段２９８巷３號５樓,新竹市新竹市光復路二段２９８巷３號５樓,9.92,住,113,8,建物1車位0,0,0,1,5,5,公寓,0,0,住家用,78,10,0,34.8,49.81,0,2,0,114434.8524,5700000,無,0,0,0,0,24.7956131,120.9988568,1.70824777
台灣新竹市新竹市西濱路一段３８８號,新竹市新竹市西濱路一段３８８號,7.92,住,113,2,建物1車位0,0,0,0.066666667,1,15,大樓,0,0,商業用,109,9,0,3.3,49.87,1,0,1,90234.60999,4500000,無,0,0,1,1,24.8392222,120.9312975,9.883351693
台灣新竹市新竹市香檳二街２６巷２５號,新竹市新竹市香檳二街２６巷２５號,37.7,非,113,10,建物1車位0,0,0,1.1,全,三層,透天厝,1,0,住家用,106,9,0,7.1,49.97,1,0,1,69241.54493,3460000,無,0,0,1,0,24.778003,120.9504518,5.626342833
台灣新竹市新竹市新莊街１８５巷３５號七樓之３,新竹市新竹市新莊街１８５巷３５號七樓之３,10.03,住,113,9,建物1車位0,0,0,0.636363636,7,11,大樓,0,0,住家用,96,12,0,16.7,50.15,0,1,1,205782.652,10320000,無,0,0,0,1,24.7881204,121.0166937,1.304025687
台灣新竹市新竹市明湖路７５１號地下四層之６,新竹市新竹市明湖路７５１號地下四層之６,14.1,其,113,11,建物1車位0,0,0,-1,-4,4,華廈,0,0,住家用,94,2,0,19.9,50.46,0,1,1,85216.01268,4300000,無,0,0,0,1,24.7764321,120.9675578,3.924428413
台灣新竹市新竹市明湖路７５１號地下四層之５,新竹市新竹市明湖路７５１號地下四層之５,14.1,其,113,7,建物1車位0,0,0,-1,-4,4,華廈,0,0,住家用,94,2,0,19.5,50.46,0,1,1,94133.9675,4750000,無,0,0,0,1,24.7764321,120.9675578,3.924428413
台灣新竹市新竹市光復路一段５３１巷７６號７樓之３,新竹市新竹市光復路一段５３１巷７６號７樓之３,8.89,商,113,7,建物1車位0,0,0,1,7,7,華廈,0,0,住家用,79,12,0,33.5,51.23,0,1,1,70271.3254,3600000,無,0,0,0,1,24.7828731,121.0130598,0.732758899
台灣新竹市新竹市北新街１３１號八樓之２２,新竹市新竹市北新街１３１號八樓之２２,6.66,住,113,7,建物1車位0,0,0,0.8,8,10,華廈,0,0,辦公用,98,3,0,15.4,51.36,0,2,1,146028.0374,7500000,無,0,0,1,1,24.8031634,120.9553927,5.641709873
台灣新竹市新竹市勝利路４０號８樓之１,新竹市新竹市勝利路４０號８樓之１,5.24,商,113,10,建物1車位0,0,0,0.8,8,10,華廈,0,0,其他,80,4,0,33.6,51.55,0,1,1,79049.46654,4075000,無,0,0,0,1,24.8026247,120.969729,4.339124025
台灣新竹市新竹市大學路２１８號４樓之２,新竹市新竹市大學路２１８號４樓之２,9.2,住,113,8,建物1車位0,0,0,0.666666667,4,6,華廈,0,0,住家用,87,6,0,26.2,52.15,0,1,1,151102.5887,7880000,無,0,0,0,1,24.7898182,120.9992448,1.133518475
台灣新竹市新竹市中正路１０７號８樓之１０,新竹市新竹市中正路１０７號８樓之１０,5.64,商,113,4,建物1車位0,0,0,0.727272727,8,11,大樓,0,0,商業用,0,0,0,113.4,52.39,1,0,1,70815.04104,3710000,無,0,0,0,1,24.8133785,120.9633677,5.560122651
台灣新竹市新竹市中華路三段８５號７樓之２,新竹市新竹市中華路三段８５號７樓之２,5.27,商,113,10,建物1車位0,0,0,0.583333333,7,12,大樓,0,0,住家用,82,8,0,31.2,52.75,0,2,1,125118.4834,6600000,無,0,0,0,1,24.7967189,120.9615814,4.788039614
台灣新竹市新竹市光華二街１１巷３號－３０,新竹市新竹市光華二街１１巷３號－３０,6.25,住,113,8,建物1車位0,0,0,0.888888889,8,9,華廈,0,0,住家用,82,11,0,30.7,52.86,0,1,1,79455.16459,4200000,無,0,0,0,1,24.8172034,120.9738857,5.103823175
台灣新竹市新竹市食品路２７號４樓之２６,新竹市新竹市食品路２７號４樓之２６,7.76,住,113,7,建物1車位0,0,0,0.444444444,4,9,華廈,0,0,商業用,87,1,0,26.6,52.98,0,1,1,101925.2548,5400000,無,0,0,0,1,24.801084,120.9828914,3.175789258
台灣新竹市新竹市光復路一段８９巷１７１之１１號,新竹市新竹市光復路一段８９巷１７１之１１號,23.95,住,113,7,建物1車位0,0,0,0.2,1,5,華廈,0,0,住家用,89,1,0,24.6,53.93,0,1,0,148340.4413,8000000,無,0,0,0,1,24.7774441,121.0260614,2.086059784
台灣新竹市新竹市自由路７１號六樓之８,新竹市新竹市自由路７１號六樓之８,3.83,商,113,8,建物1車位0,0,0,0.461538462,6,13,大樓,0,0,住家用,92,1,0,21.7,54.95,0,1,1,72793.44859,4000000,無,0,0,1,1,24.8132633,120.9803287,4.35881778
